URL,LDA Coherence,LDA Topic,Qualitative Topic
https://www.infoq.com/articles/batch-etl-streams-kafka/,0.604564643,Design using multiple technologies,Elaborate and evaluate a solution
https://www.tutorialspoint.com/apache_camel/apache_camel_overview.htm,0.373345087,Design using multiple technologies,Elaborate and evaluate a solution
https://www.infoq.com/articles/HIgh-Performance-Parsers-in-Java-V2/,0.552713474,Design using multiple technologies,How-to design
https://www.onlineinterviewquestions.com/list-the-design-patterns-used-by-rabbitmq/,0.841845482,Design using multiple technologies,List related solutions
https://www.infoq.com/articles/rest-introduction/,0.472637499,Design using multiple technologies,Elaborate and evaluate a solution
https://www.springpeople.com/blog/4-message-brokers-you-need-to-know/,0.882146446,Design using multiple technologies,List related solutions
https://www.infoq.com/articles/stream-processing-hadoop/,0.369179021,Design using multiple technologies,How-to design
https://www.infoq.com/articles/web-api-design-methodology/,0.743339887,Design using multiple technologies,How-to design
https://www.tutorialspoint.com/microservice_architecture/index.htm,0.701620117,Design using multiple technologies,Elaborate and evaluate a solution
https://www.infoq.com/news/2014/06/hazelcastmq-v1-0-0/,0.934824107,Design using multiple technologies,Elaborate and evaluate a solution
https://www.javacodegeeks.com/2019/07/json-and-xml-how-do-they-compare.html,0.311566109,Design using multiple technologies,Compare solutions
https://www.infoq.com/articles/advanced-architecture-aspnet-core/,0.584665813,Design using multiple technologies,Elaborate and evaluate a solution
https://www.infoq.com/articles/apache-kafka/,0.444892716,Design using multiple technologies,Elaborate and evaluate a solution
https://www.infoq.com/articles/eai-with-apache-camel/,0.402289705,Design using multiple technologies,How-to design
https://www.infoq.com/articles/modular-java-what-is-it/,0.592772536,Design using multiple technologies,Elaborate and evaluate a solution
https://www.infoq.com/news/2018/06/decomposing-system-microservices/,0.694026993,Design using multiple technologies,Compare solutions
https://www.infoq.com/articles/video-stream-analytics-opencv/,0.374746216,Design using multiple technologies,How-to design
https://www.springpeople.com/blog/data-warehousing-essentials-what-is-etl-tool-what-are-its-benefits/,0.773933281,Design using multiple technologies,Elaborate and evaluate a solution
https://www.edureka.co/blog/apache-flume-tutorial/,0.709370054,Design using multiple technologies,Elaborate and evaluate a solution
https://www.edureka.co/blog/microservice-architecture/,0.565952842,Design using multiple technologies,Elaborate and evaluate a solution
https://www.janbasktraining.com/blog/what-is-flume/,0.502035754,Design using multiple technologies,Elaborate and evaluate a solution
https://www.edureka.co/community/83239/difference-between-synchronous-and-asynchronous-api-calls,0.795785289,Design using multiple technologies,Compare solutions
https://vironit.com/comparison-of-activemq-rabbitmq-and-zeromq-message-oriented-middleware/,0.346437042,Design using multiple technologies,Compare solutions
https://www.scnsoft.com/blog/microservices-architecture-java-example,0.784933984,Design using multiple technologies,Elaborate and evaluate a solution
https://www.javaguides.net/2018/06/restful-api-design-best-practices.html,0.460944421,Design using multiple technologies,List related solutions
https://adambien.blog/roller/abien/entry/websphere_application_server_version_8,0.381729346,Design using multiple technologies,List related solutions
https://cloudonaut.io/versus/messaging/msk-vs-mq/,0.329805775,Design using multiple technologies,Compare solutions
https://objectcomputing.com/resources/publications/mnb,0.989380255,Design using multiple technologies,
https://medium.com/platform-engineer/microservices-design-guide-eca0b799a7e8,0.700393893,Design using patterns and components,List related solutions
https://www.educative.io/blog/how-to-design-a-web-application-software-architecture-101,0.751593535,Design using patterns and components,How-to design
https://dzone.com/articles/concise-comparison-rabbitmq,0.629044875,Design using patterns and components,Compare solutions
https://dzone.com/articles/microservice-testing-coupling-and-cohesion-all-the,0.964518656,Design using patterns and components,How-to design
https://marutitech.com/microservices-best-practices/,0.748726696,Design using patterns and components,List related solutions
https://hackr.io/blog/web-application-architecture-definition-models-types-and-more,0.799305931,Design using patterns and components,Elaborate and evaluate a solution
https://medium.com/@joetilley/i-am-using-dialogflow-as-my-nlp-engine-for-my-chatbot-c9f707f2f72d,0.596977582,Design using patterns and components,
https://www.devbridge.com/articles/a-6-point-plan-for-implementing-a-scalable-microservices-architecture/,0.652694519,Design using patterns and components,How-to design
https://hackernoon.com/applying-clean-architecture-on-web-application-with-modular-pattern-7b11f1b89011,0.693764476,Design using patterns and components,How-to design
https://medium.com/@rashmishehana_48965/middleware-technologies-e5def95da4e,0.825461591,Design using patterns and components,List related solutions
https://priyalwalpita.medium.com/coupling-and-cohesion-in-microservices-235ed9203843,0.825435875,Design using patterns and components,List related solutions
https://highcohesionloosecoupling.com/index.php/tag/microservices/,0.505995451,Design using patterns and components,How-to design
https://sites.google.com/a/mammatustech.com/mammatusmain/java-microservices-architecture,0.520232693,Design using patterns and components,How-to design
https://xebia.com/blog/microservices-architecture-principle-4-asynchronous-communication-over-synchronous-communication/,0.619379428,Design using patterns and components,Compare solutions
https://dzone.com/articles/java-microservices-code-examples-tutorials-and-more,0.460823658,Design using patterns and components,How to implement
https://dzone.com/articles/what-is-web-application-architecture,0.867476266,Design using patterns and components,List related solutions
https://dzone.com/articles/native-vs-hybrid-vs-cross-platform-how-and-what-to,0.600327979,Design using patterns and components,Compare solutions
https://dzone.com/articles/microservice-architecture-best-practices-messaging,0.967775531,Design using patterns and components,Elaborate and evaluate a solution
https://zeekat.nl/articles/mvc-for-the-web.html,0.694191271,Design using patterns and components,Elaborate and evaluate a solution
https://www.linkedin.com/pulse/microservice-communication-arpit-jain,0.569476205,Design using patterns and components,Compare solutions
https://www.javacodegeeks.com/2014/06/microservice-architecture-a-quick-guide.html,0.858486006,Design using patterns and components,Elaborate and evaluate a solution
https://www.infoq.com/articles/microservices-design-ideals/,0.512704577,Design using patterns and components,How-to design
https://dzone.com/articles/implementing-micro-services-architecture-for-build,0.798603765,Design using patterns and components,How-to design
https://www.devteam.space/blog/microservice-architecture-examples-and-diagram/,0.771092703,Design using patterns and components,List related solutions
https://www.freecodecamp.org/news/an-introduction-to-microservices-2705e7758f9/,0.713831487,Design using patterns and components,Elaborate and evaluate a solution
https://dzone.com/articles/10-best-practices-for-microservice-architectures,0.895372142,Design using patterns and components,How-to design
https://ngkester123.medium.com/design-patterns-for-microservices-9340b72407bb,0.933402307,Design using patterns and components,List related solutions
https://dzone.com/articles/microservices-architecture-what-when-how,0.92356627,Design using patterns and components,Elaborate and evaluate a solution
https://www.seasiainfotech.com/blog/native-vs-hybrid-vs-cross-platform-apps/,0.537776854,Design using patterns and components,Compare solutions
https://dzone.com/articles/design-patterns-for-microservice-communication,0.914492307,Design using patterns and components,List related solutions
https://jaxenter.com/introduction-microservices-java-136067.html ,0.562351344,Design using patterns and components,How-to design
https://www.lightbend.com/microservices/reactive-microservices-why-asynchronous-communication,0.488140837,Design using patterns and components,Elaborate and evaluate a solution
https://medium.com/oracledevs/data-consistency-among-microservices-is-it-possible-fe48938235d1,0.638960436,Design using patterns and components,How-to design
https://www.guru99.com/microservices-tutorial.html,0.454052453,Design using patterns and components,Compare solutions
https://www.capitalone.com/tech/software-engineering/10-microservices-best-practices/,0.900212051,Design using patterns and components,List related solutions
https://blog.dreamfactory.com/the-importance-of-loose-coupling-in-rest-api-design/,0.727504021,Design using patterns and components,Elaborate and evaluate a solution
https://www.informit.com/articles/article.aspx?p=31086&seqNum=5,0.449924426,Design using patterns and components,List related solutions
https://dzone.com/articles/patterns-for-microservices-sync-vs-async,0.838504186,Design using patterns and components,Compare solutions
https://dzone.com/articles/communicating-between-microservices,0.698484032,Design using patterns and components,List related solutions
https://www.freecodecamp.org/news/4-design-patterns-to-use-in-web-development/,0.335000326,Design using patterns and components,List related solutions
https://patterns.arcitura.com/service-api-patterns/fundamental-service-api-patterns/service-decomposition,0.422358132,Design using patterns and components,Elaborate and evaluate a solution
https://www.w3.org/DesignIssues/Principles.html,0.672514438,Design using patterns and components,List related solutions
https://www.dineshonjava.com/application-decomposition-to-microservice/,0.832428628,Design using patterns and components,How-to design
https://dzone.com/articles/how-to-parse-json-data-from-a-rest-api-using-simpl,0.459575589,Design using patterns and components,How to implement
https://dzone.com/articles/an-overview-of-kafka-distributed-message-system,0.471197611,Design using patterns and components,Elaborate and evaluate a solution
https://www.theserverside.com/feature/Can-a-pattern-become-an-anti-pattern-How-to-avoid-the-loose-coupling-mistake,0.797781994,Design using patterns and components,Elaborate and evaluate a solution
https://dzone.com/articles/kafka-queuing-kafka-as-a-messaging-system,0.718340123,Design using patterns and components,Elaborate and evaluate a solution
https://dzone.com/articles/design-patterns-for-microservices-1,0.930185826,Design using patterns and components,List related solutions
https://dzone.com/articles/from-e-commerce-platforms-to-microservices-omni-co,0.796426485,Design using patterns and components,How-to design
https://www.intellectsoft.net/blog/web-application-architecture/,0.772111322,Design using patterns and components,List related solutions
https://dzone.com/articles/asynchronous-messaging-rabbitmq-introduction,0.567739107,Design using patterns and components,Elaborate and evaluate a solution
https://opensource.com/article/18/4/guide-design-microservices,0.671798378,Design using patterns and components,List related solutions
https://www.devteam.space/blog/10-best-practices-for-building-a-microservice-architecture/,0.832223635,Design using patterns and components,List related solutions
https://medium.com/swlh/the-principles-of-planning-and-implementing-microservices-3cb0eb76c172,0.506833631,Design using patterns and components,How-to design
https://anarsolutions.com/top-8-architectural-principles-for-designing-modern-web-applications/,0.847011875,Design using patterns and components,List related solutions
https://microservices.io/patterns/apigateway.html,0.94241828,Design using patterns and components,Elaborate and evaluate a solution
https://www.codementor.io/@goetas/modular-application-architecture-considerations-on-design-patterns-flmx1m731,0.513700383,Design using patterns and components,How-to design
https://specify.io/concepts/microservices,0.857102558,Design using patterns and components,Elaborate and evaluate a solution
https://www.bennadel.com/blog/3504-microservices-patterns-with-examples-in-java-by-chris-richardson.htm,0.704776665,Design using patterns and components,How-to design
https://martinfowler.com/articles/microservices.html,0.813682964,Design using patterns and components,Elaborate and evaluate a solution
https://dearsikandarkhan.medium.com/microservices-architecture-for-e-commerce-f8b49270e72f,0.799929567,Design using patterns and components,How-to design
https://www.webforefront.com/performance/scaling101.html,0.701121775,Design using patterns and components,How-to design
https://about.gitlab.com/blog/2019/06/17/strategies-microservices-architecture/,0.789646323,Design using patterns and components,List related solutions
https://danielbryantuk.medium.com/microservice-testing-coupling-and-cohesion-all-the-way-down-b84dacf8cff0,0.926098061,Design using patterns and components,How-to design
https://dzone.com/articles/a-look-at-rest-api-design-patterns,0.801975787,Design using patterns and components,List related solutions
https://dzone.com/articles/rest-api-best-practices-with-design-examples-from,0.583941807,Design using patterns and components,How-to design
https://freecontent.manning.com/strategies-for-decomposing-an-application-into-services/,0.918279308,Design using patterns and components,How-to design
https://www.informit.com/articles/article.aspx?p=2995357,0.710963726,Design using patterns and components,How-to design
https://dzone.com/articles/frameworks-and-products-big-data-log-analytics-log,0.444669837,Design using patterns and components,List related solutions
https://www.informit.com/articles/article.aspx?p=1317547&seqNum=5,0.707265967,Design using patterns and components,Elaborate and evaluate a solution
https://www.edureka.co/blog/microservices-design-patterns,0.479192134,Design using patterns and components,List related solutions
https://www.javatpoint.com/restful-web-services-architecture-of-web-services,0.454049694,Design using patterns and components,Elaborate and evaluate a solution
https://medium.com/it-dead-inside/isolating-your-microservices-through-loose-coupling-48b710e28de6,0.675669622,Design using patterns and components,How-to design
https://chrisrichardson.net/post/refactoring/2020/08/21/ten-principles-for-refactoring-to-microservices.html,0.720753725,Design using patterns and components,List related solutions
https://dzone.com/articles/how-to-make-microservices-communicate,0.779577917,Design using patterns and components,List related solutions
https://medium.com/@kmdkhadeer/microservices-best-practices-5fe3e28394b3,0.993514145,Design using patterns and components,How-to design
https://techbeacon.com/app-dev-testing/5-fundamentals-successful-microservice-design,0.708577731,Design using patterns and components,List related solutions
https://solace.com/blog/eventual-consistency-in-microservices/,0.457503944,Design using patterns and components,How-to design
https://microservices.io/patterns/communication-style/rpi.html,0.923161784,Design using patterns and components,Elaborate and evaluate a solution
https://www.ben-morris.com/why-is-loose-coupling-between-services-so-important/,0.889275033,Design using patterns and components,Elaborate and evaluate a solution
https://www.javacodegeeks.com/2016/05/components-involved-creating-robust-micro-service-architecture.html,0.563104174,Design using patterns and components,Elaborate and evaluate a solution
https://medium.com/design-and-tech-co/implementing-domain-driven-design-for-microservice-architecture-26eb0333d72e,0.879140562,Design using patterns and components,How-to design
https://dev.to/azaleamollis/solid-design-principles-building-stable-and-flexible-systems--2ph7,0.620286053,Design using patterns and components,List related solutions
https://www.mulesoft.com/resources/api/what-is-rest-api-design,0.526771085,Design using patterns and components,Elaborate and evaluate a solution
https://dzone.com/articles/how-to-practically-implement-microservices-infrast,0.839456745,Design using patterns and components,How-to design
https://www.otto.de/jobs/technology/techblog/artikel/on-monoliths-and-microservices_2015-09-30.php,0.751851725,Design using patterns and components,How-to design
https://restfulapi.net/,0.43467931,Design using patterns and components,Elaborate and evaluate a solution
https://www.ben-morris.com/why-rest-is-not-a-silver-bullet-for-soa-and-microservice-integration/,0.860231336,Design using patterns and components,Elaborate and evaluate a solution
https://www.linkedin.com/pulse/loose-coupling-microservice-architecture-patrick-van-vuuren,0.693270946,Design using patterns and components,How-to design
https://www.redhat.com/en/blog/intro-scalability,0.416406074,Design using patterns and components,List related solutions
https://dzone.com/articles/apache-camel-the-powerful-client-for-salesforce-da,0.577695333,Design using patterns and components,How-to design
https://www.hossambarakat.net/2017/11/11/microservices-coupling-with-synchronous-integration/,0.655702299,Design using patterns and components,How to implement
https://dzone.com/refcardz/patterns-modular-architecture,0.886339991,Design using patterns and components,List related solutions
