url,Average Relevance,Type of Blog,Memo
https://www.sitepoint.com/php-style-json-parsing-in-java-with-jsoniter/,4,Community blog,Multiple authors. Multiple topics. 
https://anubala.medium.com/components-of-microservices-architecture-for-beginners-7b2ebc4e45c6,2,Community blog,Website company Medium provides community blogs.
https://arunrajeevan.medium.com/fundamentals-of-rest-api-design-d9c425c1b0f6,4,Community blog,Website company Medium provides community blogs.
https://builtin.com/big-data/big-data-companies-roundup,3,Community blog,?About: our story? page states ?a social network and blogging platform?
https://builtin.com/big-data/big-data-platform,3,Community blog,Same as above
https://chatbotsjournal.com/why-knowledge-bases-and-chatbots-are-the-future-of-tech-support-790e238295cc,5,Community blog,Website company Medium provides community blogs.
https://chatbotslife.com/best-nlp-chatbot-platform-d3d80f441078,4,Community blog,Website company Medium provides community blogs.
https://chatbotslife.com/chatbots-the-rise-of-conversational-ui-8a59078e2f95,4,Community blog,Website company Medium provides community blogs.
https://chatbotsmagazine.com/how-to-develop-a-chatbot-from-scratch-62bed1adab8c,3,Community blog,Website company Medium provides community blogs.
https://chatbotsmagazine.com/using-slack-as-a-message-queue-dd5a13bfa1c0,4,Community blog,Website company Medium provides community blogs.
https://cobusgreyling.medium.com/chatbots-when-to-use-nlp-and-when-to-use-nlu-8eba17c0a4bc,4,Community blog,Website company Medium provides community blogs.
https://cobusgreyling.medium.com/read-this-before-converting-your-chatbot-to-a-voicebot-447f8fc3a325,2,Community blog,Website company Medium provides community blogs.
https://codeburst.io/spring-boot-rest-microservices-best-practices-2a6e50797115,4,Community blog,Website company Medium provides community blogs.
https://codecondo.com/8-tools-for-log-monitoring-and-processing-big-data/,4,Community blog,"?About us"" page states ""community for developers? and ?inform our readers with ? ?news and technology?."
https://danielbryantuk.medium.com/microservice-testing-coupling-and-cohesion-all-the-way-down-b84dacf8cff0,3.666666667,Community blog,Website company Medium provides community blogs.
https://dearsikandarkhan.medium.com/microservices-architecture-for-e-commerce-f8b49270e72f,3.5,Community blog,Website company Medium provides community blogs.
https://dev.to/azaleamollis/solid-design-principles-building-stable-and-flexible-systems--2ph7,4,Community blog,Multiple autors. 
https://dev.to/dianamaltseva8/rabbitmq-for-building-mobile-chats--messengers-sharing-experience-358,3,Community blog,Same as above
https://dev.to/djoleb/apache-camel-3-using-rabbitmq-2250,2.75,Community blog,Same as above
https://dev.to/inspector/laravel-real-time-monitoring-using-inspector-part-1-get-started-2bb3,2,Community blog,Same as above
https://dev.to/subhransu/realtime-chat-app-using-kafka-springboot-reactjs-and-websockets-lc,3.5,Community blog,"Bottom of page states ""A constructive and inclusive social network for software ?developers.?. Click logo, page states ?a place where coders share,? stay up-to-date and grow their careers.?"
https://devopedia.org/cohesion-vs-coupling,5,Community blog,"Bottom of page states ""Devopedia is an open community platformfor developers ?by developers to explain technology??"
https://dzone.com/articles/10-best-practices-for-microservice-architectures,1.5,Community blog,"Bottom of page ?About DZone? states ?DZone serves technology professionals? with the knowledge, tools, and strategies they need to build the future.?"
https://dzone.com/articles/20-useful-open-source-libraries-for-java-programme,2,Community blog,Website ZDone is a Community blog.
https://dzone.com/articles/2018-etl-tools-comparison-1,3,Community blog,Website ZDone is a Community blog.
https://dzone.com/articles/9-fundamentals-to-a-successful-microservice-design,2.5,Community blog,Website ZDone is a Community blog.
https://dzone.com/articles/a-look-at-rest-api-design-patterns,3.666666667,Community blog,Website ZDone is a Community blog.
https://dzone.com/articles/all-you-need-to-know-about-asyncronous-messaging-u,3,Community blog,Website ZDone is a Community blog.
https://dzone.com/articles/an-overview-of-kafka-distributed-message-system,3.25,Community blog,Website ZDone is a Community blog.
https://dzone.com/articles/apache-camel-deployment-modes,3,Community blog,Website ZDone is a Community blog.
https://dzone.com/articles/apache-camel-the-powerful-client-for-salesforce-da,3,Community blog,Website ZDone is a Community blog.
https://dzone.com/articles/apache-flume-and-data-pipelines,4,Community blog,Website ZDone is a Community blog.
https://dzone.com/articles/apache-kafka-vs-integration-middleware-mq-etl-esb,4,Community blog,Website ZDone is a Community blog.
https://dzone.com/articles/asynchronous-java-se-web,3,Community blog,Website ZDone is a Community blog.
https://dzone.com/articles/asynchronous-messaging-rabbitmq-introduction,2,Community blog,Website ZDone is a Community blog.
https://dzone.com/articles/benchmarking-message-queue-latency,4.333333333,Community blog,Website ZDone is a Community blog.
https://dzone.com/articles/big-data-ingestion-flume-kafka-and-nifi,4,Community blog,Website ZDone is a Community blog.
https://dzone.com/articles/build-a-chat-application-using-spring-boot-websock,3.2,Community blog,Website ZDone is a Community blog.
https://dzone.com/articles/communicating-between-microservices,4,Community blog,Website ZDone is a Community blog.
https://dzone.com/articles/concise-comparison-rabbitmq,3,Community blog,Website ZDone is a Community blog.
https://dzone.com/articles/data-consistency-in-microservices-architecture,4,Community blog,Website ZDone is a Community blog.
https://dzone.com/articles/dealing-with-json-in-a-new-way,3.846153846,Community blog,Website ZDone is a Community blog.
https://dzone.com/articles/design-patterns-for-microservice-communication,3.6,Community blog,Website ZDone is a Community blog.
https://dzone.com/articles/design-patterns-for-microservices,3.9375,Community blog,Website ZDone is a Community blog.
https://dzone.com/articles/design-patterns-for-microservices-1,5,Community blog,Website ZDone is a Community blog.
https://dzone.com/articles/develop-a-java-app-with-kafka,5,Community blog,Website ZDone is a Community blog.
https://dzone.com/articles/evaluating-message-brokers-kafka-vs-kinesis-vs-sqs,3,Community blog,Website ZDone is a Community blog.
https://dzone.com/articles/exploring-message-brokers,3.884615385,Community blog,Website ZDone is a Community blog.
https://dzone.com/articles/exploring-message-brokers?source=post_page-----7d1a857af7b5----------------------,4,Community blog,Website ZDone is a Community blog.
https://dzone.com/articles/frameworks-and-products-big-data-log-analytics-log,3,Community blog,Website ZDone is a Community blog.
https://dzone.com/articles/how-to-make-microservices-communicate,2,Community blog,Website ZDone is a Community blog.
https://dzone.com/articles/how-to-parse-json-data-from-a-rest-api-using-simpl,3.25,Community blog,Website ZDone is a Community blog.
https://dzone.com/articles/how-to-practically-implement-microservices-infrast,3,Community blog,Website ZDone is a Community blog.
https://dzone.com/articles/implementing-micro-services-architecture-for-build,4.125,Community blog,Website ZDone is a Community blog.
https://dzone.com/articles/introduction-to-message-brokers-part-1-apache-kafk,3.333333333,Community blog,Website ZDone is a Community blog.
https://dzone.com/articles/introduction-to-message-brokers-part-2-activemq-vs,3,Community blog,Website ZDone is a Community blog.
https://dzone.com/articles/java-microservices-code-examples-tutorials-and-more,3.25,Community blog,Website ZDone is a Community blog.
https://dzone.com/articles/jsontuples-json-parser-and-comparator-in-java,2.5,Community blog,Website ZDone is a Community blog.
https://dzone.com/articles/kafka-queuing-kafka-as-a-messaging-system,2.5,Community blog,Website ZDone is a Community blog.
https://dzone.com/articles/microservice-architecture-and-design-patterns-for,4.333333333,Community blog,Website ZDone is a Community blog.
https://dzone.com/articles/microservice-architecture-best-practices-messaging,2,Community blog,Website ZDone is a Community blog.
https://dzone.com/articles/microservice-testing-coupling-and-cohesion-all-the,2.333333333,Community blog,Website ZDone is a Community blog.
https://dzone.com/articles/microservices-architecture-what-when-how,2.5,Community blog,Website ZDone is a Community blog.
https://dzone.com/articles/microservices-design-principles,3,Community blog,Website ZDone is a Community blog.
https://dzone.com/articles/microservices-in-practice-1,4,Community blog,Website ZDone is a Community blog.
https://dzone.com/articles/migrating-jms-amqp-rabbitmq,2.75,Community blog,Website ZDone is a Community blog.
https://dzone.com/articles/open-source-etl-tools-comparison,2,Community blog,Website ZDone is a Community blog.
https://dzone.com/articles/open-source-integration-apache,3,Community blog,Website ZDone is a Community blog.
https://dzone.com/articles/patterns-for-microservices-sync-vs-async,3.5,Community blog,Website ZDone is a Community blog.
https://dzone.com/articles/performance-tuning-ideas-for-apache-camel,3.6,Community blog,Website ZDone is a Community blog.
https://dzone.com/articles/processing-large-messages-with-apache-kafka,2,Community blog,Website ZDone is a Community blog.
https://dzone.com/articles/rest-api-best-practices-with-design-examples-from,4.5,Community blog,Website ZDone is a Community blog.
https://dzone.com/articles/stans-robot-shop-a-sample-microservice-application,2,Community blog,Website ZDone is a Community blog.
https://dzone.com/articles/the-importance-of-loose-coupling-in-rest-api-desig,3,Community blog,Website ZDone is a Community blog.
https://dzone.com/articles/top-5-enterprise-etl-tools,3,Community blog,Website ZDone is a Community blog.
https://dzone.com/articles/what-is-data-streaming,2,Community blog,Website ZDone is a Community blog.
https://dzone.com/articles/what-is-web-application-architecture,4,Community blog,Website ZDone is a Community blog.
https://dzone.com/articles/when-use-apache-camel,2.714285714,Community blog,Website ZDone is a Community blog.
https://dzone.com/refcardz/enterprise-integration,3,Community blog,Website ZDone is a Community blog.
https://dzone.com/refcardz/patterns-modular-architecture,3.333333333,Community blog,Website ZDone is a Community blog.
https://engineering.salesforce.com/building-a-fault-tolerant-data-pipeline-for-chatbots-47d74bc31f5b,4,Community blog,Website company Medium provides community blogs.
https://engineering.salesforce.com/building-a-scalable-event-pipeline-with-heroku-and-salesforce-2549cb20ce06,2.5,Community blog,Website company Medium provides community blogs.
https://hackernoon.com/applying-clean-architecture-on-web-application-with-modular-pattern-7b11f1b89011,4,Community blog,"Bottom of page about page states ""Hacker Noon˜is a small, distributed team of 14-ish people* ?passionate about making the internet a better place by publishing free high quality tech stories ?"
